"Index:	FREQUENCY:	AMPLITUDE:	BIAS:	GAMMA:	Pressure:	TimeMark:"
"000004179	022313.350	002.546369	0.215007	8.872320e-07	0.0e+00	00:11:08.750"
"000004180	022313.425	002.412734	0.216675	8.396937e-07	0.0e+00	00:11:08.906"
"000004181	022313.500	002.264729	0.218761	7.870414e-07	0.0e+00	00:11:09.078"
"000004182	022313.575	002.021671	0.220923	7.015193e-07	0.0e+00	00:11:09.235"
"000004183	022313.650	001.981674	0.222881	6.867073e-07	0.0e+00	00:11:09.391"
"000004184	022313.725	001.756653	0.224479	6.080578e-07	0.0e+00	00:11:09.563"
"000004185	022313.800	001.623303	0.226079	5.612773e-07	0.0e+00	00:11:09.719"
"000004186	022313.875	001.449881	0.227803	5.007174e-07	0.0e+00	00:11:09.875"
"000004187	022313.950	001.266920	0.230022	4.368623e-07	0.0e+00	00:11:10.031"
"000004188	022314.025	001.211650	0.231777	4.172990e-07	0.0e+00	00:11:10.203"
"000004189	022314.100	001.067103	0.233016	3.672029e-07	0.0e+00	00:11:10.360"
"000004190	022314.175	000.819543	0.234452	2.817361e-07	0.0e+00	00:11:10.516"
"000004191	022314.250	000.755793	0.236619	2.594341e-07	0.0e+00	00:11:10.688"
"000004192	022314.325	000.519356	0.238589	1.780339e-07	0.0e+00	00:11:10.844"
"000004193	022314.400	000.520666	0.240034	1.783061e-07	0.0e+00	00:11:11.000"
"000004194	022314.475	000.610709	0.241151	2.089823e-07	0.0e+00	00:11:11.172"
"000004195	022314.550	000.547975	0.242612	1.873277e-07	0.0e+00	00:11:11.328"
"000004196	022314.625	000.409483	0.244373	1.398152e-07	0.0e+00	00:11:11.485"
"000004197	022314.700	000.487776	0.246227	1.663370e-07	0.0e+00	00:11:11.641"
"000004198	022314.775	000.400473	0.247770	1.364222e-07	0.0e+00	00:11:11.813"
"000004199	022314.850	000.464523	0.248804	1.581297e-07	0.0e+00	00:11:11.969"
"000004200	022314.925	000.568853	0.250105	1.934735e-07	0.0e+00	00:11:12.125"
"000004201	022315.000	000.530956	0.252203	1.803271e-07	0.0e+00	00:11:12.297"
"000004202	022315.075	000.694296	0.253907	2.355290e-07	0.0e+00	00:11:12.453"
"000004203	022315.150	000.727936	0.254925	2.467706e-07	0.0e+00	00:11:12.610"
"000004204	022315.225	000.807427	0.255984	2.735218e-07	0.0e+00	00:11:12.766"
"000004205	022315.300	000.892285	0.257897	3.018765e-07	0.0e+00	00:11:12.938"
"000004206	022315.375	000.918638	0.259763	3.104004e-07	0.0e+00	00:11:13.094"
"000004207	022315.450	000.974945	0.261042	3.291416e-07	0.0e+00	00:11:13.250"
"000004208	022315.525	001.033590	0.262277	3.486495e-07	0.0e+00	00:11:13.422"
"000004209	022315.600	001.076372	0.263543	3.627706e-07	0.0e+00	00:11:13.578"
"000004210	022315.675	001.109256	0.265159	3.734470e-07	0.0e+00	00:11:13.735"
"000004211	022315.750	001.257806	0.266783	4.229958e-07	0.0e+00	00:11:13.906"
"000004212	022315.825	001.347991	0.267929	4.529756e-07	0.0e+00	00:11:14.063"
"000004213	022315.900	001.363149	0.268981	4.577456e-07	0.0e+00	00:11:14.219"
"000004214	022315.975	001.439324	0.270288	4.829014e-07	0.0e+00	00:11:14.375"
"000004215	022316.050	001.533376	0.271858	5.139150e-07	0.0e+00	00:11:14.547"
"000004216	022316.125	001.552019	0.273201	5.196954e-07	0.0e+00	00:11:14.703"
"000004217	022316.200	001.586109	0.274020	5.308192e-07	0.0e+00	00:11:14.860"
"000004218	022316.275	001.671985	0.274987	5.591970e-07	0.0e+00	00:11:15.031"
"000004219	022316.350	001.818535	0.276445	6.076187e-07	0.0e+00	00:11:15.188"
"000004220	022316.425	001.819223	0.277946	6.072392e-07	0.0e+00	00:11:15.344"
"000004221	022316.500	001.899499	0.279110	6.335421e-07	0.0e+00	00:11:15.516"
"000004222	022316.575	001.932207	0.279886	6.441181e-07	0.0e+00	00:11:15.672"
"000004223	022316.650	001.845944	0.280696	6.150295e-07	0.0e+00	00:11:15.828"
"000004224	022316.725	001.629201	0.282255	5.422517e-07	0.0e+00	00:11:16.000"
"000004225	022316.800	001.721070	0.283278	5.724391e-07	0.0e+00	00:11:16.156"
"000004226	022316.875	001.397630	0.284587	4.644563e-07	0.0e+00	00:11:16.313"
"000004227	022316.950	001.297560	0.285388	4.309718e-07	0.0e+00	00:11:16.485"
"000004228	022317.025	001.234917	0.286929	4.097463e-07	0.0e+00	00:11:16.641"
"000004229	022317.100	001.027792	0.288353	3.407000e-07	0.0e+00	00:11:16.797"
"000004230	022317.175	000.930031	0.289465	3.080663e-07	0.0e+00	00:11:16.953"
"000004231	022317.250	000.797322	0.290253	2.639698e-07	0.0e+00	00:11:17.125"
"000004232	022317.325	000.484021	0.290826	1.601843e-07	0.0e+00	00:11:17.281"
"000004233	022317.400	000.383614	0.292349	1.268273e-07	0.0e+00	00:11:17.438"
"000004234	022317.475	000.294136	0.293411	9.717635e-08	0.0e+00	00:11:17.610"
"000004235	022317.550	000.119547	0.294235	3.947444e-08	0.0e+00	00:11:17.766"
"000004236	022317.625	000.084050	0.294813	2.774266e-08	0.0e+00	00:11:17.922"
"000004237	022317.700	-00.010343	0.295103	-3.413222e-09	0.0e+00	00:11:18.094"
"000004238	022317.775	-00.038664	0.296744	-1.274559e-08	0.0e+00	00:11:18.250"
"000004239	022317.850	-00.213347	0.297615	-7.029017e-08	0.0e+00	00:11:18.406"
"000004240	022317.925	-00.209639	0.298271	-6.903872e-08	0.0e+00	00:11:18.578"
"000004241	022318.000	-00.211238	0.298357	-6.956147e-08	0.0e+00	00:11:18.735"
"000004242	022318.075	-00.184922	0.299478	-6.085063e-08	0.0e+00	00:11:18.891"
"000004243	022318.150	-00.229144	0.300395	-7.535674e-08	0.0e+00	00:11:19.047"
"000004244	022318.225	-00.146739	0.301016	-4.823721e-08	0.0e+00	00:11:19.219"
"000004245	022318.300	-00.146454	0.301634	-4.812382e-08	0.0e+00	00:11:19.375"
"000004246	022318.375	-00.098228	0.302373	-3.226156e-08	0.0e+00	00:11:19.531"
"000004247	022318.450	-00.075680	0.303522	-2.483734e-08	0.0e+00	00:11:19.703"
