"Index:	FREQUENCY:	AMPLITUDE:	BIAS:	GAMMA:	Pressure:	TimeMark:"
"000004179	022313.350	002.864000	0.262504	9.659335e-07	0.0e+00	00:11:45.156"
"000004180	022313.425	002.779661	0.264163	9.364407e-07	0.0e+00	00:11:45.313"
"000004181	022313.500	002.656405	0.266343	8.936044e-07	0.0e+00	00:11:45.485"
"000004182	022313.575	002.495080	0.267692	8.385739e-07	0.0e+00	00:11:45.641"
"000004183	022313.650	002.392552	0.269970	8.028857e-07	0.0e+00	00:11:45.813"
"000004184	022313.725	002.188558	0.272224	7.333209e-07	0.0e+00	00:11:45.969"
"000004185	022313.800	001.884032	0.274711	6.302326e-07	0.0e+00	00:11:46.141"
"000004186	022313.875	001.825807	0.275630	6.103807e-07	0.0e+00	00:11:46.297"
"000004187	022313.950	001.688310	0.277577	5.636805e-07	0.0e+00	00:11:46.469"
"000004188	022314.025	001.450027	0.280331	4.832356e-07	0.0e+00	00:11:46.625"
"000004189	022314.100	001.332473	0.282002	4.435658e-07	0.0e+00	00:11:46.797"
"000004190	022314.175	001.294201	0.283273	4.304609e-07	0.0e+00	00:11:46.953"
"000004191	022314.250	001.032828	0.284848	3.431671e-07	0.0e+00	00:11:47.125"
"000004192	022314.325	000.952468	0.286889	3.160378e-07	0.0e+00	00:11:47.281"
"000004193	022314.400	000.914557	0.288965	3.030413e-07	0.0e+00	00:11:47.453"
"000004194	022314.475	000.790286	0.290658	2.615700e-07	0.0e+00	00:11:47.610"
"000004195	022314.550	000.712514	0.291968	2.356249e-07	0.0e+00	00:11:47.781"
"000004196	022314.625	000.650847	0.293805	2.149705e-07	0.0e+00	00:11:47.953"
"000004197	022314.700	000.670093	0.295810	2.210348e-07	0.0e+00	00:11:48.110"
"000004198	022314.775	000.582692	0.297430	1.919995e-07	0.0e+00	00:11:48.281"
"000004199	022314.850	000.625523	0.299574	2.058217e-07	0.0e+00	00:11:48.438"
"000004200	022314.925	000.590579	0.300555	1.941986e-07	0.0e+00	00:11:48.610"
"000004201	022315.000	000.738210	0.301782	2.425477e-07	0.0e+00	00:11:48.766"
"000004202	022315.075	000.728819	0.304079	2.391013e-07	0.0e+00	00:11:48.938"
"000004203	022315.150	000.764840	0.305997	2.506033e-07	0.0e+00	00:11:49.094"
"000004204	022315.225	000.882274	0.307311	2.888324e-07	0.0e+00	00:11:49.266"
"000004205	022315.300	000.948117	0.308396	3.101674e-07	0.0e+00	00:11:49.422"
"000004206	022315.375	001.080148	0.310106	3.529651e-07	0.0e+00	00:11:49.578"
"000004207	022315.450	001.021712	0.311891	3.334806e-07	0.0e+00	00:11:49.750"
"000004208	022315.525	001.200441	0.313407	3.914294e-07	0.0e+00	00:11:49.906"
"000004209	022315.600	001.238230	0.314665	4.034202e-07	0.0e+00	00:11:50.078"
"000004210	022315.675	001.313685	0.316159	4.275875e-07	0.0e+00	00:11:50.235"
"000004211	022315.750	001.427148	0.317421	4.641369e-07	0.0e+00	00:11:50.406"
"000004212	022315.825	001.498257	0.319367	4.866471e-07	0.0e+00	00:11:50.578"
"000004213	022315.900	001.489341	0.320839	4.832888e-07	0.0e+00	00:11:50.735"
"000004214	022315.975	001.720346	0.321877	5.578739e-07	0.0e+00	00:11:50.906"
"000004215	022316.050	001.578955	0.323189	5.115883e-07	0.0e+00	00:11:51.063"
"000004216	022316.125	001.836001	0.324349	5.944257e-07	0.0e+00	00:11:51.235"
"000004217	022316.200	001.835702	0.326471	5.935132e-07	0.0e+00	00:11:51.391"
"000004218	022316.275	001.880106	0.327742	6.073706e-07	0.0e+00	00:11:51.563"
"000004219	022316.350	001.947070	0.328386	6.287416e-07	0.0e+00	00:11:51.719"
"000004220	022316.425	001.947860	0.329551	6.285242e-07	0.0e+00	00:11:51.891"
"000004221	022316.500	001.895362	0.331725	6.107275e-07	0.0e+00	00:11:52.047"
"000004222	022316.575	001.873469	0.332758	6.032715e-07	0.0e+00	00:11:52.219"
"000004223	022316.650	001.822583	0.333407	5.866407e-07	0.0e+00	00:11:52.375"
"000004224	022316.725	001.677670	0.334862	5.394915e-07	0.0e+00	00:11:52.547"
"000004225	022316.800	001.567946	0.336056	5.038206e-07	0.0e+00	00:11:52.703"
"000004226	022316.875	001.669511	0.337362	5.360061e-07	0.0e+00	00:11:52.875"
"000004227	022316.950	001.376204	0.338448	4.415304e-07	0.0e+00	00:11:53.031"
"000004228	022317.025	001.384391	0.339266	4.439240e-07	0.0e+00	00:11:53.203"
"000004229	022317.100	001.241200	0.340217	3.977653e-07	0.0e+00	00:11:53.360"
"000004230	022317.175	001.162078	0.341723	3.720501e-07	0.0e+00	00:11:53.531"
"000004231	022317.250	000.910394	0.343153	2.912043e-07	0.0e+00	00:11:53.688"
"000004232	022317.325	000.764459	0.343876	2.444118e-07	0.0e+00	00:11:53.860"
"000004233	022317.400	000.590107	0.344747	1.885630e-07	0.0e+00	00:11:54.016"
"000004234	022317.475	000.544579	0.346023	1.738732e-07	0.0e+00	00:11:54.188"
"000004235	022317.550	000.439227	0.347472	1.401067e-07	0.0e+00	00:11:54.360"
"000004236	022317.625	000.318744	0.347869	1.016489e-07	0.0e+00	00:11:54.516"
"000004237	022317.700	000.137089	0.348760	4.369355e-08	0.0e+00	00:11:54.688"
"000004238	022317.775	-00.007204	0.350002	-2.294296e-09	0.0e+00	00:11:54.844"
"000004239	022317.850	-00.052421	0.351336	-1.668031e-08	0.0e+00	00:11:55.016"
"000004240	022317.925	-00.046066	0.352003	-1.465200e-08	0.0e+00	00:11:55.172"
"000004241	022318.000	-00.176309	0.352436	-5.606250e-08	0.0e+00	00:11:55.344"
"000004242	022318.075	-00.189254	0.353596	-6.013413e-08	0.0e+00	00:11:55.500"
"000004243	022318.150	-00.078279	0.354406	-2.485991e-08	0.0e+00	00:11:55.672"
"000004244	022318.225	-00.185692	0.355380	-5.893579e-08	0.0e+00	00:11:55.828"
"000004245	022318.300	-00.104075	0.355802	-3.302300e-08	0.0e+00	00:11:56.000"
"000004246	022318.375	-00.062067	0.356486	-1.968517e-08	0.0e+00	00:11:56.156"
"000004247	022318.450	-00.049764	0.357818	-1.576974e-08	0.0e+00	00:11:56.328"
"000004248	022318.525	000.034273	0.358233	1.085802e-08	0.0e+00	00:11:56.485"
"000004249	022318.600	000.017315	0.358846	5.483490e-09	0.0e+00	00:11:56.656"
"000004250	022318.675	000.149707	0.359318	4.739607e-08	0.0e+00	00:11:56.813"
"000004251	022318.750	000.219554	0.360137	6.947303e-08	0.0e+00	00:11:56.985"
"000004252	022318.825	000.185330	0.361132	5.860673e-08	0.0e+00	00:11:57.156"
"000004253	022318.900	000.175460	0.361253	5.548120e-08	0.0e+00	00:11:57.313"
"000004254	022318.975	000.327678	0.361685	1.035851e-07	0.0e+00	00:11:57.485"
"000004255	022319.050	000.450195	0.362216	1.422672e-07	0.0e+00	00:11:57.641"
"000004256	022319.125	000.427863	0.363099	1.351347e-07	0.0e+00	00:11:57.813"
"000004257	022319.200	000.640941	0.363658	2.023610e-07	0.0e+00	00:11:57.969"
"000004258	022319.275	000.590736	0.363513	1.865270e-07	0.0e+00	00:11:58.141"
"000004259	022319.350	000.627866	0.363865	1.982070e-07	0.0e+00	00:11:58.297"
"000004260	022319.425	000.737804	0.365025	2.327421e-07	0.0e+00	00:11:58.469"
"000004261	022319.500	000.687415	0.364982	2.168525e-07	0.0e+00	00:11:58.625"
"000004262	022319.575	000.685722	0.364755	2.163495e-07	0.0e+00	00:11:58.797"
"000004263	022319.650	000.684255	0.365183	2.158283e-07	0.0e+00	00:11:58.953"
"000004264	022319.725	000.651209	0.365927	2.053086e-07	0.0e+00	00:11:59.125"
"000004265	022319.800	000.741485	0.365956	2.337660e-07	0.0e+00	00:11:59.281"
"000004266	022319.875	000.652429	0.366099	2.056710e-07	0.0e+00	00:11:59.453"
"000004267	022319.950	000.625320	0.366188	1.971142e-07	0.0e+00	00:11:59.625"
"000004268	022320.025	000.557386	0.366748	1.756380e-07	0.0e+00	00:11:59.781"
"000004269	022320.100	000.722943	0.367150	2.277487e-07	0.0e+00	00:11:59.953"
"000004270	022320.175	000.522384	0.366806	1.646025e-07	0.0e+00	00:12:00.110"
"000004271	022320.250	000.515252	0.366912	1.623443e-07	0.0e+00	00:12:00.281"
"000004272	022320.325	000.597672	0.367060	1.882952e-07	0.0e+00	00:12:00.438"
"000004273	022320.400	000.508444	0.367774	1.601120e-07	0.0e+00	00:12:00.610"
"000004274	022320.475	000.568913	0.367951	1.791342e-07	0.0e+00	00:12:00.766"
"000004275	022320.550	000.508647	0.366987	1.602555e-07	0.0e+00	00:12:00.938"
"000004276	022320.625	000.509324	0.367013	1.604663e-07	0.0e+00	00:12:01.094"
"000004277	022320.700	000.525608	0.367576	1.655380e-07	0.0e+00	00:12:01.266"
"000004278	022320.775	000.467340	0.367590	1.471855e-07	0.0e+00	00:12:01.422"
"000004279	022320.850	000.531686	0.366845	1.675292e-07	0.0e+00	00:12:01.594"
"000004280	022320.925	000.463992	0.366577	1.462242e-07	0.0e+00	00:12:01.750"
"000004281	022321.000	000.380596	0.366676	1.199350e-07	0.0e+00	00:12:01.922"
"000004282	022321.075	000.323588	0.366822	1.019609e-07	0.0e+00	00:12:02.078"
"000004283	022321.150	000.301765	0.366635	9.509595e-08	0.0e+00	00:12:02.250"
"000004284	022321.225	000.280179	0.366058	8.832552e-08	0.0e+00	00:12:02.406"
"000004285	022321.300	000.316582	0.365800	9.981767e-08	0.0e+00	00:12:02.578"
"000004286	022321.375	000.325716	0.365798	1.026979e-07	0.0e+00	00:12:02.735"
"000004287	022321.450	000.255667	0.365527	8.062512e-08	0.0e+00	00:12:02.906"
"000004288	022321.525	000.218240	0.365165	6.883832e-08	0.0e+00	00:12:03.063"
"000004289	022321.600	000.165668	0.364565	5.227566e-08	0.0e+00	00:12:03.235"
"000004290	022321.675	000.261462	0.364076	8.252829e-08	0.0e+00	00:12:03.391"
"000004291	022321.750	000.260138	0.364305	8.209860e-08	0.0e+00	00:12:03.563"
"000004292	022321.825	000.288686	0.363868	9.113321e-08	0.0e+00	00:12:03.735"
"000004293	022321.900	000.224918	0.362774	7.105183e-08	0.0e+00	00:12:03.891"
"000004294	022321.975	000.295935	0.362161	9.352241e-08	0.0e+00	00:12:04.063"
"000004295	022322.050	000.289722	0.362354	9.154771e-08	0.0e+00	00:12:04.219"
"000004296	022322.125	000.323204	0.361991	1.021511e-07	0.0e+00	00:12:04.391"
"000004297	022322.200	000.305904	0.360291	9.678710e-08	0.0e+00	00:12:04.547"
"000004298	022322.275	000.364853	0.359980	1.154613e-07	0.0e+00	00:12:04.719"
"000004299	022322.350	000.427160	0.359753	1.351983e-07	0.0e+00	00:12:04.875"
"000004300	022322.425	000.538875	0.358999	1.706383e-07	0.0e+00	00:12:05.047"
"000004301	022322.500	000.597219	0.357981	1.892351e-07	0.0e+00	00:12:05.203"
"000004302	022322.575	000.575055	0.357514	1.822660e-07	0.0e+00	00:12:05.375"
"000004303	022322.650	000.629093	0.356716	1.994946e-07	0.0e+00	00:12:05.531"
"000004304	022322.725	000.613105	0.356104	1.945001e-07	0.0e+00	00:12:05.703"
"000004305	022322.800	000.532121	0.355753	1.688464e-07	0.0e+00	00:12:05.860"
"000004306	022322.875	000.704311	0.354548	2.236549e-07	0.0e+00	00:12:06.031"
"000004307	022322.950	000.680727	0.353555	2.163023e-07	0.0e+00	00:12:06.188"
"000004308	022323.025	000.782037	0.353181	2.485528e-07	0.0e+00	00:12:06.360"
"000004309	022323.100	000.834797	0.352509	2.654346e-07	0.0e+00	00:12:06.516"
"000004310	022323.175	000.907465	0.351084	2.888023e-07	0.0e+00	00:12:06.688"
"000004311	022323.250	000.882234	0.350042	2.809586e-07	0.0e+00	00:12:06.844"
"000004312	022323.325	000.959269	0.349216	3.056523e-07	0.0e+00	00:12:07.016"
