"Index:	FREQUENCY:	AMPLITUDE:	BIAS:	GAMMA:	Pressure:	TimeMark:"
"000000070	022005.175	000.896631	-0.165901	4.253068e-07	0.0e+00	00:00:10.703"
"000000071	022005.250	000.786093	-0.164562	3.724014e-07	0.0e+00	00:00:10.860"
"000000072	022005.325	000.953192	-0.162679	4.507581e-07	0.0e+00	00:00:11.016"
"000000073	022005.400	000.861871	-0.160519	4.067421e-07	0.0e+00	00:00:11.172"
"000000074	022005.475	000.910586	-0.158744	4.290135e-07	0.0e+00	00:00:11.328"
"000000075	022005.550	000.818429	-0.157400	3.851068e-07	0.0e+00	00:00:11.485"
"000000076	022005.625	000.811634	-0.155550	3.812457e-07	0.0e+00	00:00:11.641"
"000000077	022005.700	000.783011	-0.152798	3.668521e-07	0.0e+00	00:00:11.797"
"000000078	022005.775	000.860803	-0.150990	4.026169e-07	0.0e+00	00:00:11.953"
"000000079	022005.850	000.874986	-0.149847	4.088135e-07	0.0e+00	00:00:12.110"
"000000080	022005.925	000.756059	-0.148211	3.527086e-07	0.0e+00	00:00:12.266"
"000000081	022006.000	000.783024	-0.146268	3.646276e-07	0.0e+00	00:00:12.422"
"000000082	022006.075	000.752306	-0.144466	3.497361e-07	0.0e+00	00:00:12.578"
"000000083	022006.150	000.797334	-0.143017	3.701702e-07	0.0e+00	00:00:12.735"
"000000084	022006.225	000.794440	-0.141419	3.682803e-07	0.0e+00	00:00:12.891"
"000000085	022006.300	000.844005	-0.139710	3.906383e-07	0.0e+00	00:00:13.047"
"000000086	022006.375	000.790652	-0.137426	3.651720e-07	0.0e+00	00:00:13.203"
"000000087	022006.450	000.814187	-0.135648	3.754258e-07	0.0e+00	00:00:13.344"
"000000088	022006.525	000.815279	-0.134623	3.755742e-07	0.0e+00	00:00:13.500"
"000000089	022006.600	000.828984	-0.132705	3.812140e-07	0.0e+00	00:00:13.656"
"000000090	022006.675	000.729109	-0.130933	3.347400e-07	0.0e+00	00:00:13.813"
"000000091	022006.750	000.767022	-0.129525	3.516916e-07	0.0e+00	00:00:13.969"
"000000092	022006.825	000.703153	-0.127959	3.219446e-07	0.0e+00	00:00:14.125"
"000000093	022006.900	000.758755	-0.126880	3.470593e-07	0.0e+00	00:00:14.281"
"000000094	022006.975	000.705388	-0.125156	3.221410e-07	0.0e+00	00:00:14.438"
"000000095	022007.050	000.803924	-0.122966	3.664083e-07	0.0e+00	00:00:14.594"
"000000096	022007.125	000.795156	-0.121270	3.618520e-07	0.0e+00	00:00:14.750"
"000000097	022007.200	000.711320	-0.120104	3.233576e-07	0.0e+00	00:00:14.906"
"000000098	022007.275	000.718430	-0.118521	3.261209e-07	0.0e+00	00:00:15.063"
"000000099	022007.350	000.710070	-0.116445	3.217192e-07	0.0e+00	00:00:15.219"
"000000100	022007.425	000.653904	-0.115076	2.959046e-07	0.0e+00	00:00:15.375"
"000000101	022007.500	000.690267	-0.114037	3.120660e-07	0.0e+00	00:00:15.531"
"000000102	022007.575	000.710913	-0.112866	3.210602e-07	0.0e+00	00:00:15.688"
"000000103	022007.650	000.732199	-0.111292	3.302035e-07	0.0e+00	00:00:15.844"
"000000104	022007.725	000.722416	-0.109538	3.252774e-07	0.0e+00	00:00:16.000"
"000000105	022007.800	000.669890	-0.107845	3.011675e-07	0.0e+00	00:00:16.156"
"000000106	022007.875	000.714952	-0.106622	3.210733e-07	0.0e+00	00:00:16.313"
"000000107	022007.950	000.625194	-0.105051	2.803688e-07	0.0e+00	00:00:16.469"
"000000108	022008.025	000.657556	-0.103262	2.944092e-07	0.0e+00	00:00:16.610"
